PO_ID,Supplier_ID,Order_Date,Requested_Delivery_Date,Promised_Lead_Time_days,Delivery_Date,Order_Status,Quantity_Ordered,Quantity_Delivered,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Reason_for_delay,Region,Item_Category,Urgency,Recorded_Communication_ResponseTime_hrs,Capacity_per_month,Min_Order_Qty,Max_Order_Qty,Shipping_Delay_days,Defective_Rate,Product_Quality,Product_Quality_Encoded,Delivery_Delay_days
PO_00028,SUPP_0095,2023-08-20,2023-09-13,24,2023-09-13,Delivered,2222,298,55.16,53.16,8.0,Yes,,Aluva,Packaging,Critical,16.5,3620,66,5243,0.0,0.026845637583892617,Medium Quality,1,0.0
PO_00029,SUPP_0038,2023-03-17,2023-04-15,29,2023-04-15,Delivered,1669,1797,31.31,32.14,30.0,Yes,,Baypur,Packaging,Normal,43.1,4988,64,3881,0.0,0.01669449081803005,Medium Quality,1,0.0
PO_00030,SUPP_0011,2022-11-12,2022-12-09,27,,Cancelled,2690,0,51.51,46.94,0.0,Yes,,Palakkad,MRO,Urgent,19.7,3234,100,3899,,0.0,High Quality,2,0.0
PO_00031,SUPP_0011,2023-01-02,2023-01-17,15,2023-01-19,Delivered,1729,3028,26.66,25.38,75.0,Yes,Raw_Material_Shortage,Palakkad,MRO,Critical,14.2,3234,100,3899,2.0,0.02476882430647292,Medium Quality,1,2.0
PO_00032,SUPP_0064,2023-11-14,2023-11-30,16,2023-12-07,Delivered,916,2003,54.92,55.68,31.0,Yes,Logistics,Baypur,MRO,Urgent,28.3,2430,193,2608,7.0,0.01547678482276585,Medium Quality,1,7.0
PO_00033,SUPP_0144,2023-02-21,2023-03-08,15,2023-03-08,Delivered,1019,2424,39.09,40.29,45.0,Yes,,Kochi,Raw_Materials,Critical,33.0,1515,118,2515,0.0,0.018564356435643563,Medium Quality,1,0.0
PO_00034,SUPP_0040,2022-08-31,2022-09-21,21,2022-09-21,Delivered,1219,2139,100.65,93.66,61.0,Yes,,Kochi,MRO,Normal,45.1,3290,101,3020,0.0,0.02851799906498364,Medium Quality,1,0.0
PO_00035,SUPP_0046,2023-02-27,2023-03-15,16,2023-03-20,Delivered,3098,3524,15.29,14.33,80.0,Yes,Logistics,Muvattupuzha,Components,Normal,39.8,4127,133,5869,5.0,0.022701475595913734,Medium Quality,1,5.0
PO_00036,SUPP_0086,2023-02-26,2023-03-07,9,2023-03-07,Delivered,201,2691,39.93,38.46,58.0,Yes,,Aluva,MRO,Critical,43.3,4993,70,2815,0.0,0.021553325901151988,Medium Quality,1,0.0
PO_00037,SUPP_0064,2022-10-01,2022-10-11,10,2022-10-11,Delivered,2385,1185,91.65,90.96,24.0,Yes,,Baypur,MRO,Normal,6.5,2430,193,2608,0.0,0.020253164556962026,Medium Quality,1,0.0
PO_00038,SUPP_0028,2023-01-27,2023-02-06,10,2023-02-07,Delivered,1656,2786,27.06,25.01,56.0,Yes,Logistics,Palakkad,Raw_Materials,Urgent,47.9,2527,185,3495,1.0,0.020100502512562814,Medium Quality,1,1.0
PO_00039,SUPP_0057,2022-07-24,2022-08-22,29,2022-08-22,Delivered,2498,1112,13.48,13.02,20.0,Yes,,Kochi,MRO,Urgent,40.8,2136,162,4999,0.0,0.017985611510791366,Medium Quality,1,0.0
PO_00040,SUPP_0090,2022-11-09,2022-12-07,28,2022-12-07,Delivered,3299,3790,32.42,30.63,82.0,Yes,,Kothamanglam,MRO,Normal,26.5,3946,71,4797,0.0,0.02163588390501319,Medium Quality,1,0.0
PO_00041,SUPP_0058,2022-01-25,2022-02-09,15,2022-02-11,Delivered,1033,1439,63.14,62.51,28.0,Yes,Raw_Material_Shortage,Aluva,Raw_Materials,Urgent,28.6,3652,162,2001,2.0,0.019457956914523976,Medium Quality,1,2.0
PO_00042,SUPP_0085,2022-10-13,2022-11-04,22,2022-11-04,Delivered,2847,944,97.15,93.89,22.0,Yes,,Baypur,Raw_Materials,Normal,29.5,4291,117,4848,0.0,0.023305084745762712,Medium Quality,1,0.0
PO_00043,SUPP_0072,2022-12-26,2023-01-21,26,,Cancelled,3624,0,102.45,94.09,0.0,Yes,,Muvattupuzha,Raw_Materials,Critical,6.3,2302,91,3634,,0.0,High Quality,2,0.0
PO_00044,SUPP_0131,2023-02-14,2023-03-11,25,2023-03-11,Delivered,2032,3050,37.43,38.03,63.0,Yes,,Aluva,Packaging,Critical,10.7,2431,178,3081,0.0,0.020655737704918034,Medium Quality,1,0.0
PO_00045,SUPP_0138,2022-12-06,2023-01-04,29,,Cancelled,1129,0,20.53,20.28,0.0,Yes,,Aluva,Raw_Materials,Normal,44.4,2641,193,4265,,0.0,High Quality,2,0.0
PO_00046,SUPP_0030,2022-09-25,2022-10-06,11,2022-10-07,Delivered,1044,3690,49.26,50.72,65.0,Yes,Raw_Material_Shortage,Kothamanglam,Raw_Materials,Critical,44.0,4061,90,5099,1.0,0.017615176151761516,Medium Quality,1,1.0
PO_00047,SUPP_0068,2022-02-09,2022-03-02,21,2022-03-02,Delivered,2399,2909,29.93,29.14,59.0,Yes,,Palakkad,Components,Normal,9.7,2486,196,5219,0.0,0.020281883808869028,Medium Quality,1,0.0
PO_00048,SUPP_0112,2022-12-20,2022-12-31,11,2022-12-31,Delivered,540,320,31.34,28.89,2.0,Yes,,Kothamanglam,MRO,Critical,27.5,3450,106,2035,0.0,0.00625,High Quality,2,0.0
PO_00049,SUPP_0081,2023-03-23,2023-04-14,22,2023-04-15,Delivered,4442,3210,59.39,58.1,64.0,Yes,Supplier_Issue,Muvattupuzha,Raw_Materials,Critical,16.7,2148,153,5923,1.0,0.019937694704049845,Medium Quality,1,1.0
PO_00050,SUPP_0030,2023-01-30,2023-02-26,27,2023-02-26,Delivered,1991,1571,61.41,57.39,39.0,Yes,,Kothamanglam,Raw_Materials,Critical,12.9,4061,90,5099,0.0,0.024824952259707194,Medium Quality,1,0.0
PO_00051,SUPP_0049,2022-09-18,2022-10-15,27,2022-10-15,Delivered,2986,3303,80.09,81.99,70.0,No,,Kochi,MRO,Normal,12.4,3802,178,3400,0.0,0.02119285498032092,Low Quality,0,0.0
PO_00052,SUPP_0112,2022-01-02,2022-01-20,18,2022-01-22,Delivered,1629,557,68.78,70.13,9.0,No,Supplier_Issue,Kothamanglam,MRO,Critical,5.0,3450,106,2035,2.0,0.01615798922800718,Low Quality,0,2.0
PO_00053,SUPP_0051,2023-01-08,2023-02-04,27,2023-02-04,Delivered,1723,1066,71.63,67.86,29.0,Yes,,Kochi,Components,Urgent,39.8,1782,152,2709,0.0,0.027204502814258912,Medium Quality,1,0.0
PO_00054,SUPP_0018,2023-11-12,2023-11-19,7,2023-11-19,Delivered,861,317,48.39,46.85,9.0,No,,Kothamanglam,Raw_Materials,Urgent,13.6,1978,57,2034,0.0,0.028391167192429023,Low Quality,0,0.0
PO_00055,SUPP_0081,2023-11-11,2023-11-23,12,2023-11-23,Delivered,2694,1454,101.44,98.6,23.0,No,,Muvattupuzha,Raw_Materials,Normal,44.0,2148,153,5923,0.0,0.01581843191196699,Low Quality,0,0.0
PO_00056,SUPP_0077,2023-06-04,2023-06-29,25,2023-06-29,Delivered,4741,2139,27.2,28.58,51.0,Yes,,Palakkad,Packaging,Urgent,32.3,4590,58,5304,0.0,0.023842917251051893,Medium Quality,1,0.0
PO_00057,SUPP_0105,2022-12-01,2022-12-12,11,2022-12-14,Delivered,3682,3163,80.44,79.38,60.0,Yes,Weather,Kothamanglam,MRO,Critical,5.2,4514,135,3686,2.0,0.0189693329117926,Medium Quality,1,2.0
PO_00058,SUPP_0076,2023-07-22,2023-08-14,23,2023-08-14,Delivered,2144,1405,44.44,42.01,25.0,Yes,,Palakkad,Components,Normal,32.2,4223,86,3183,0.0,0.017793594306049824,Medium Quality,1,0.0
PO_00059,SUPP_0050,2023-03-07,2023-04-02,26,2023-04-02,Delivered,920,1955,34.92,33.6,25.0,Yes,,Muvattupuzha,MRO,Critical,16.7,1806,170,4675,0.0,0.01278772378516624,Medium Quality,1,0.0
PO_00060,SUPP_0098,2023-11-25,2023-12-01,6,2023-12-01,Delivered,1313,5209,76.36,73.44,103.0,No,,Baypur,Packaging,Critical,1.1,1560,73,5420,0.0,0.019773468995968515,Low Quality,0,0.0
PO_00061,SUPP_0045,2023-09-23,2023-10-16,23,2023-10-16,Delivered,1819,2505,19.84,18.24,49.0,Yes,,Aluva,Components,Critical,42.0,3560,183,2795,0.0,0.019560878243512974,Medium Quality,1,0.0
PO_00062,SUPP_0078,2023-02-20,2023-03-04,12,2023-03-05,Delivered,905,2617,106.65,98.25,55.0,No,Supplier_Issue,Kochi,Components,Normal,32.5,3670,196,4863,1.0,0.021016431027894536,Low Quality,0,1.0
PO_00063,SUPP_0078,2022-10-21,2022-11-04,14,2022-11-14,Delivered,4541,3353,36.94,38.16,73.0,Yes,Raw_Material_Shortage,Kochi,Components,Urgent,20.8,3670,196,4863,10.0,0.02177154786758127,Medium Quality,1,10.0
PO_00064,SUPP_0149,2023-09-14,2023-10-06,22,2023-10-06,Delivered,4589,3134,59.68,57.02,66.0,Yes,,Baypur,Raw_Materials,Critical,23.6,4413,92,5627,0.0,0.021059349074664963,Medium Quality,1,0.0
PO_00065,SUPP_0083,2023-04-22,2023-04-29,7,2023-04-29,Delivered,4601,4420,65.86,61.52,89.0,Yes,,Kothamanglam,Packaging,Urgent,25.4,598,142,4961,0.0,0.020135746606334843,Medium Quality,1,0.0
PO_00066,SUPP_0114,2023-11-23,2023-12-10,17,2023-12-10,Delivered,929,501,84.18,88.31,14.0,Yes,,Palakkad,Raw_Materials,Normal,38.5,4995,191,2971,0.0,0.027944111776447105,Medium Quality,1,0.0
PO_00067,SUPP_0131,2023-04-30,2023-05-11,11,,Cancelled,206,0,79.86,79.05,0.0,Yes,,Aluva,Packaging,Critical,30.5,2431,178,3081,,0.0,High Quality,2,0.0
PO_00068,SUPP_0044,2023-11-06,2023-12-04,28,2023-12-04,Delivered,1014,3067,41.41,40.27,67.0,Yes,,Aluva,Packaging,Normal,15.0,3125,94,3597,0.0,0.021845451581349852,Medium Quality,1,0.0
PO_00069,SUPP_0073,2023-06-12,2023-07-04,22,2023-07-04,Delivered,897,624,87.96,91.93,7.0,Yes,,Palakkad,Components,Critical,46.0,762,193,4393,0.0,0.011217948717948718,Medium Quality,1,0.0
PO_00070,SUPP_0086,2022-04-06,2022-04-15,9,2022-04-15,Delivered,876,779,97.29,89.12,15.0,Yes,,Aluva,MRO,Normal,47.6,4993,70,2815,0.0,0.019255455712451863,Medium Quality,1,0.0
PO_00071,SUPP_0080,2022-08-19,2022-08-31,12,2022-08-31,Delivered,1554,1049,30.04,30.76,17.0,Yes,,Baypur,Components,Normal,17.5,3691,165,2586,0.0,0.016205910390848427,Medium Quality,1,0.0
PO_00072,SUPP_0038,2022-01-26,2022-02-04,9,2022-02-04,Delivered,3234,1608,65.58,63.75,28.0,Yes,,Baypur,Packaging,Normal,47.8,4988,64,3881,0.0,0.017412935323383085,Medium Quality,1,0.0
PO_00073,SUPP_0063,2023-05-02,2023-05-09,7,2023-05-09,Delivered,2177,1039,14.25,13.14,26.0,Yes,,Muvattupuzha,MRO,Critical,13.8,3431,147,2197,0.0,0.025024061597690085,Medium Quality,1,0.0
PO_00074,SUPP_0019,2023-04-12,2023-04-25,13,,Cancelled,1454,0,13.18,13.19,0.0,Yes,,Aluva,MRO,Urgent,35.6,3652,99,5943,,0.0,High Quality,2,0.0
PO_00075,SUPP_0148,2022-07-19,2022-07-25,6,2022-07-25,Delivered,1424,2525,76.94,75.11,38.0,Yes,,Baypur,Packaging,Critical,4.6,4500,150,3291,0.0,0.015049504950495049,Medium Quality,1,0.0
PO_00076,SUPP_0099,2023-05-22,2023-06-12,21,,Cancelled,1468,0,55.32,53.25,0.0,Yes,,Baypur,Packaging,Urgent,17.3,801,144,5170,,0.0,High Quality,2,0.0
PO_00077,SUPP_0063,2022-06-01,2022-06-07,6,2022-06-10,Delivered,1432,1459,61.48,56.91,25.0,Yes,Logistics,Muvattupuzha,MRO,Normal,16.7,3431,147,2197,3.0,0.017135023989033583,Medium Quality,1,3.0
PO_00078,SUPP_0109,2022-08-13,2022-08-30,17,2022-08-30,Delivered,2557,278,29.25,27.03,3.0,Yes,,Muvattupuzha,Packaging,Normal,11.7,4841,88,3500,0.0,0.01079136690647482,Medium Quality,1,0.0
PO_00079,SUPP_0133,2023-04-21,2023-05-02,11,2023-05-04,Delivered,2150,726,32.58,33.28,8.0,Yes,Logistics,Muvattupuzha,Components,Critical,6.4,1059,138,2487,2.0,0.011019283746556474,Medium Quality,1,2.0
PO_00080,SUPP_0064,2022-05-05,2022-05-11,6,2022-05-11,Delivered,1200,867,20.89,19.63,15.0,Yes,,Baypur,MRO,Urgent,5.8,2430,193,2608,0.0,0.01730103806228374,Medium Quality,1,0.0
PO_00081,SUPP_0035,2023-04-21,2023-04-29,8,2023-04-30,Delivered,2323,814,70.8,73.74,17.0,Yes,Supplier_Issue,Kothamanglam,Packaging,Critical,3.1,3273,84,2960,1.0,0.020884520884520884,Medium Quality,1,1.0
PO_00082,SUPP_0082,2023-03-30,2023-04-21,22,2023-04-21,Delivered,923,3908,23.09,21.71,47.0,Yes,,Aluva,Components,Critical,24.0,753,161,4557,0.0,0.012026612077789151,Medium Quality,1,0.0
PO_00083,SUPP_0130,2023-03-13,2023-04-05,23,2023-04-05,Delivered,1629,3729,56.95,52.17,62.0,Yes,,Kochi,MRO,Critical,39.8,3338,176,5464,0.0,0.016626441405202468,Medium Quality,1,0.0
PO_00084,SUPP_0115,2022-06-12,2022-06-27,15,2022-06-27,Delivered,3296,5210,68.29,68.91,127.0,Yes,,Palakkad,Raw_Materials,Critical,45.3,1666,141,5425,0.0,0.02437619961612284,Medium Quality,1,0.0
PO_00085,SUPP_0122,2023-04-06,2023-04-26,20,2023-05-03,Delivered,2128,1834,49.65,49.81,33.0,Yes,Customs,Kochi,Components,Normal,10.4,504,152,3219,7.0,0.017993456924754635,Medium Quality,1,7.0
PO_00086,SUPP_0071,2023-06-18,2023-07-09,21,2023-07-09,Delivered,2408,1447,57.35,58.89,24.0,Yes,,Muvattupuzha,Packaging,Urgent,22.3,2885,153,2640,0.0,0.0165860400829302,Medium Quality,1,0.0
PO_00087,SUPP_0062,2022-10-09,2022-10-31,22,2022-10-31,Delivered,779,1046,100.83,92.07,16.0,No,,Baypur,Raw_Materials,Urgent,29.1,1266,87,4327,0.0,0.015296367112810707,Low Quality,0,0.0
PO_00088,SUPP_0020,2022-10-20,2022-11-05,16,2022-11-05,Delivered,299,1199,64.07,63.12,23.0,Yes,,Aluva,Components,Normal,46.8,3573,183,4613,0.0,0.019182652210175146,Medium Quality,1,0.0
PO_00089,SUPP_0070,2022-12-10,2022-12-20,10,2022-12-20,Delivered,4374,2220,97.08,91.7,50.0,Yes,,Aluva,Components,Urgent,27.8,3476,177,4598,0.0,0.02252252252252252,Medium Quality,1,0.0
PO_00090,SUPP_0139,2022-03-24,2022-04-12,19,2022-04-12,Delivered,1069,847,10.87,10.88,17.0,Yes,,Palakkad,Components,Normal,2.6,2979,134,2550,0.0,0.020070838252656435,Medium Quality,1,0.0
PO_00091,SUPP_0039,2022-08-25,2022-09-18,24,2022-09-18,Delivered,1821,201,77.69,72.39,3.0,Yes,,Baypur,Packaging,Urgent,29.0,1984,112,2863,0.0,0.014925373134328358,Medium Quality,1,0.0
PO_00092,SUPP_0040,2023-12-25,2024-01-07,13,,Cancelled,1540,0,40.23,36.9,0.0,Yes,,Kochi,MRO,Normal,30.4,3290,101,3020,,0.0,High Quality,2,0.0
PO_00093,SUPP_0017,2023-03-01,2023-03-25,24,2023-03-27,Delivered,637,2233,93.44,90.53,52.0,Yes,Weather,Kochi,Packaging,Urgent,25.7,3112,179,3363,2.0,0.02328705776981639,Medium Quality,1,2.0
PO_00094,SUPP_0139,2023-04-23,2023-05-07,14,2023-05-08,Delivered,1694,2268,86.95,88.46,38.0,Yes,Weather,Palakkad,Components,Normal,24.4,2979,134,2550,1.0,0.01675485008818342,Medium Quality,1,1.0
PO_00095,SUPP_0053,2023-03-07,2023-03-29,22,,Cancelled,769,0,41.16,39.91,0.0,Yes,,Palakkad,Components,Urgent,4.8,1163,108,5445,,0.0,High Quality,2,0.0
PO_00096,SUPP_0150,2023-12-14,2024-01-06,23,2024-01-06,Delivered,542,1420,83.6,85.64,42.0,Yes,,Baypur,Raw_Materials,Normal,30.6,4880,190,2011,0.0,0.029577464788732393,Medium Quality,1,0.0
PO_00097,SUPP_0148,2023-01-25,2023-02-10,16,2023-02-10,Delivered,3144,1862,63.06,62.08,41.0,Yes,,Baypur,Packaging,Urgent,43.3,4500,150,3291,0.0,0.02201933404940924,Medium Quality,1,0.0
PO_00098,SUPP_0002,2022-12-27,2023-01-06,10,2023-01-16,Delivered,1339,255,42.64,42.32,7.0,Yes,Customs,Aluva,Components,Urgent,20.4,4272,70,3638,10.0,0.027450980392156862,Medium Quality,1,10.0
PO_00099,SUPP_0108,2023-07-06,2023-07-16,10,2023-07-16,Delivered,1832,4662,65.7,63.36,98.0,Yes,,Kochi,MRO,Critical,15.7,3675,186,5882,0.0,0.021021021021021023,Medium Quality,1,0.0
PO_00100,SUPP_0140,2023-09-10,2023-09-16,6,2023-09-16,Delivered,4105,4637,45.04,45.7,85.0,Yes,,Aluva,Raw_Materials,Normal,16.6,2135,82,5325,0.0,0.018330817338796636,Medium Quality,1,0.0
PO_00101,SUPP_0125,2022-08-13,2022-08-27,14,2022-08-27,Delivered,1962,2343,69.21,65.54,39.0,No,,Baypur,Raw_Materials,Urgent,35.6,4864,163,2635,0.0,0.016645326504481434,Low Quality,0,0.0
PO_00102,SUPP_0112,2023-05-13,2023-05-22,9,2023-05-23,Delivered,1685,1761,54.17,50.17,36.0,No,Logistics,Kothamanglam,MRO,Urgent,47.4,3450,106,2035,1.0,0.020442930153321975,Low Quality,0,1.0
PO_00103,SUPP_0087,2023-11-16,2023-11-29,13,2023-12-04,Delivered,3249,3021,21.36,20.99,75.0,Yes,Weather,Aluva,Packaging,Critical,3.0,4487,177,3415,5.0,0.024826216484607744,Medium Quality,1,5.0
PO_00104,SUPP_0043,2023-04-24,2023-05-08,14,2023-05-08,Delivered,260,1409,100.05,95.66,35.0,Yes,,Palakkad,Components,Normal,24.0,2222,135,3819,0.0,0.0248403122782115,Medium Quality,1,0.0
PO_00105,SUPP_0137,2022-01-28,2022-02-13,16,2022-02-13,Delivered,2087,4521,29.61,28.17,120.0,Yes,,Kothamanglam,Packaging,Urgent,21.9,3856,118,5118,0.0,0.026542800265428004,Medium Quality,1,0.0
PO_00106,SUPP_0145,2023-11-10,2023-11-19,9,2023-11-19,Delivered,2066,1215,11.43,11.58,28.0,Yes,,Baypur,Raw_Materials,Normal,44.2,3587,73,2335,0.0,0.023045267489711935,Medium Quality,1,0.0
PO_00107,SUPP_0022,2023-10-21,2023-10-26,5,2023-10-26,Delivered,1390,3187,66.28,68.61,61.0,Yes,,Aluva,MRO,Urgent,27.6,661,63,5934,0.0,0.019140257295262003,Medium Quality,1,0.0
PO_00108,SUPP_0035,2023-04-18,2023-05-01,13,2023-05-01,Delivered,1751,577,75.07,70.08,14.0,Yes,,Kothamanglam,Packaging,Normal,39.4,3273,84,2960,0.0,0.024263431542461005,Medium Quality,1,0.0
PO_00109,SUPP_0013,2022-09-24,2022-10-22,28,2022-10-22,Delivered,2290,810,73.19,72.59,16.0,Yes,,Baypur,Components,Urgent,11.7,3702,100,2646,0.0,0.019753086419753086,Medium Quality,1,0.0
PO_00110,SUPP_0084,2022-08-05,2022-08-20,15,2022-08-20,Delivered,1064,2992,52.07,51.71,70.0,Yes,,Aluva,Packaging,Urgent,2.2,4933,103,5234,0.0,0.02339572192513369,Medium Quality,1,0.0
PO_00111,SUPP_0084,2022-12-12,2023-01-10,29,2023-01-10,Delivered,3125,3467,60.41,58.02,76.0,Yes,,Aluva,Packaging,Urgent,45.9,4933,103,5234,0.0,0.021920969137582926,Medium Quality,1,0.0
PO_00112,SUPP_0072,2023-03-08,2023-03-25,17,2023-03-25,Delivered,1929,426,17.95,16.42,8.0,Yes,,Muvattupuzha,Raw_Materials,Urgent,26.0,2302,91,3634,0.0,0.018779342723004695,Medium Quality,1,0.0
PO_00113,SUPP_0021,2023-04-27,2023-05-09,12,2023-05-09,Delivered,104,1784,34.96,34.54,27.0,Yes,,Kothamanglam,Components,Normal,9.5,4343,103,3500,0.0,0.015134529147982063,Medium Quality,1,0.0
PO_00114,SUPP_0139,2022-02-23,2022-03-12,17,2022-03-12,Delivered,2479,578,93.87,92.6,10.0,Yes,,Palakkad,Components,Urgent,1.1,2979,134,2550,0.0,0.01730103806228374,Medium Quality,1,0.0
PO_00115,SUPP_0058,2023-10-28,2023-11-23,26,2023-11-26,Delivered,682,1211,66.57,68.19,22.0,Yes,Logistics,Aluva,Raw_Materials,Critical,27.2,3652,162,2001,3.0,0.018166804293971925,Medium Quality,1,3.0
