PO_ID,Supplier_ID,Order_Date,Requested_Delivery_Date,Promised_Lead_Time_days,Delivery_Date,Order_Status,Quantity_Ordered,Quantity_Delivered,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Reason_for_delay,Region,Item_Category,Urgency,Recorded_Communication_ResponseTime_hrs,Capacity_per_month,Min_Order_Qty,Max_Order_Qty,Shipping_Delay_days,Defective_Rate,Product_Quality,Product_Quality_Encoded,Delivery_Delay_days,Item_Category_ID,Product_Quality_ID
PO_00015,SUPP_0027,18-05-2022,04-06-2022,17,04-06-2022,Delivered,2330,510,96.14,98.85,11,Yes,,Baypur,Packaging,Urgent,40.6,3068,137,3152,0,0.021568627,Medium Quality,1,0,3,1
PO_00016,SUPP_0030,20-04-2022,07-05-2022,17,,Cancelled,2242,0,46.9,47.33,0,No,,Kothamanglam,Raw_Materials,Critical,41.6,4061,90,5099,,0,Low Quality,0,0,1,2
PO_00017,SUPP_0142,09-06-2022,30-06-2022,21,01-07-2022,Delivered,3823,1647,102.39,95.03,28,Yes,Customs,Baypur,Packaging,Urgent,45.8,3349,187,4809,1,0.017000607,Medium Quality,1,1,3,1
PO_00018,SUPP_0054,18-12-2022,04-01-2023,17,07-01-2023,Delivered,1968,632,14.08,14.22,12,Yes,Raw_Material_Shortage,Palakkad,MRO,Critical,39.4,4243,145,3495,3,0.018987342,Medium Quality,1,3,0,1
PO_00019,SUPP_0068,02-06-2023,18-06-2023,16,21-06-2023,Delivered,4915,2044,53.9,53.2,47,Yes,Weather,Palakkad,Components,Urgent,43.4,2486,196,5219,3,0.022994129,Medium Quality,1,3,2,1
PO_00020,SUPP_0014,05-04-2022,11-04-2022,6,11-04-2022,Delivered,2549,1425,91.57,91.37,29,Yes,,Aluva,Packaging,Critical,30.2,3388,67,4435,0,0.020350877,Medium Quality,1,0,3,1
PO_00021,SUPP_0109,11-10-2022,03-11-2022,23,04-11-2022,Delivered,2319,225,91.4,85.79,1,Yes,Logistics,Muvattupuzha,Packaging,Normal,17.3,4841,88,3500,1,0.004444444,High Quality,2,1,3,0
PO_00022,SUPP_0086,14-05-2022,29-05-2022,15,29-05-2022,Delivered,830,2228,53.35,51.41,43,Yes,,Aluva,MRO,Critical,33.7,4993,70,2815,0,0.01929982,Medium Quality,1,0,0,1
PO_00023,SUPP_0068,15-06-2022,14-07-2022,29,14-07-2022,Delivered,867,4384,24.97,25.51,64,Yes,,Palakkad,Components,Critical,9.3,2486,196,5219,0,0.01459854,Medium Quality,1,0,2,1
PO_00024,SUPP_0114,19-07-2023,13-08-2023,25,13-08-2023,Delivered,2584,714,87.7,90.48,12,No,,Palakkad,Raw_Materials,Critical,23.6,4995,191,2971,0,0.016806723,Low Quality,0,0,1,2
PO_00025,SUPP_0110,29-07-2023,24-08-2023,26,,Cancelled,2472,0,24.29,24.13,0,No,,Aluva,Raw_Materials,Normal,41.8,3306,75,3890,,0,Low Quality,0,0,1,2
PO_00026,SUPP_0029,19-03-2022,31-03-2022,12,31-03-2022,Delivered,720,384,91.8,93.16,5,Yes,,Aluva,Packaging,Critical,40.7,891,82,2378,0,0.013020833,Medium Quality,1,0,3,1
PO_00027,SUPP_0039,13-07-2023,28-07-2023,15,28-07-2023,Delivered,1327,2018,34.46,34.23,34,Yes,,Baypur,Packaging,Normal,42.9,1984,112,2863,0,0.016848365,Medium Quality,1,0,3,1
PO_00028,SUPP_0095,20-08-2023,13-09-2023,24,13-09-2023,Delivered,2222,298,55.16,53.16,8,Yes,,Aluva,Packaging,Critical,16.5,3620,66,5243,0,0.026845638,Medium Quality,1,0,3,1
PO_00029,SUPP_0038,17-03-2023,15-04-2023,29,15-04-2023,Delivered,1669,1797,31.31,32.14,30,Yes,,Baypur,Packaging,Normal,43.1,4988,64,3881,0,0.016694491,Medium Quality,1,0,3,1
PO_00030,SUPP_0011,12-11-2022,09-12-2022,27,,Cancelled,2690,0,51.51,46.94,0,Yes,,Palakkad,MRO,Urgent,19.7,3234,100,3899,,0,High Quality,2,0,0,0
PO_00031,SUPP_0011,02-01-2023,17-01-2023,15,19-01-2023,Delivered,1729,3028,26.66,25.38,75,Yes,Raw_Material_Shortage,Palakkad,MRO,Critical,14.2,3234,100,3899,2,0.024768824,Medium Quality,1,2,0,1
PO_00032,SUPP_0064,14-11-2023,30-11-2023,16,07-12-2023,Delivered,916,2003,54.92,55.68,31,Yes,Logistics,Baypur,MRO,Urgent,28.3,2430,193,2608,7,0.015476785,Medium Quality,1,7,0,1
PO_00033,SUPP_0144,21-02-2023,08-03-2023,15,08-03-2023,Delivered,1019,2424,39.09,40.29,45,Yes,,Kochi,Raw_Materials,Critical,33,1515,118,2515,0,0.018564356,Medium Quality,1,0,1,1
PO_00034,SUPP_0040,31-08-2022,21-09-2022,21,21-09-2022,Delivered,1219,2139,100.65,93.66,61,Yes,,Kochi,MRO,Normal,45.1,3290,101,3020,0,0.028517999,Medium Quality,1,0,0,1
PO_00035,SUPP_0046,27-02-2023,15-03-2023,16,20-03-2023,Delivered,3098,3524,15.29,14.33,80,Yes,Logistics,Muvattupuzha,Components,Normal,39.8,4127,133,5869,5,0.022701476,Medium Quality,1,5,2,1
PO_00036,SUPP_0086,26-02-2023,07-03-2023,9,07-03-2023,Delivered,201,2691,39.93,38.46,58,Yes,,Aluva,MRO,Critical,43.3,4993,70,2815,0,0.021553326,Medium Quality,1,0,0,1
PO_00037,SUPP_0064,01-10-2022,11-10-2022,10,11-10-2022,Delivered,2385,1185,91.65,90.96,24,Yes,,Baypur,MRO,Normal,6.5,2430,193,2608,0,0.020253165,Medium Quality,1,0,0,1
PO_00038,SUPP_0028,27-01-2023,06-02-2023,10,07-02-2023,Delivered,1656,2786,27.06,25.01,56,Yes,Logistics,Palakkad,Raw_Materials,Urgent,47.9,2527,185,3495,1,0.020100503,Medium Quality,1,1,1,1
PO_00039,SUPP_0057,24-07-2022,22-08-2022,29,22-08-2022,Delivered,2498,1112,13.48,13.02,20,Yes,,Kochi,MRO,Urgent,40.8,2136,162,4999,0,0.017985612,Medium Quality,1,0,0,1
PO_00040,SUPP_0090,09-11-2022,07-12-2022,28,07-12-2022,Delivered,3299,3790,32.42,30.63,82,Yes,,Kothamanglam,MRO,Normal,26.5,3946,71,4797,0,0.021635884,Medium Quality,1,0,0,1
PO_00041,SUPP_0058,25-01-2022,09-02-2022,15,11-02-2022,Delivered,1033,1439,63.14,62.51,28,Yes,Raw_Material_Shortage,Aluva,Raw_Materials,Urgent,28.6,3652,162,2001,2,0.019457957,Medium Quality,1,2,1,1
PO_00042,SUPP_0085,13-10-2022,04-11-2022,22,04-11-2022,Delivered,2847,944,97.15,93.89,22,Yes,,Baypur,Raw_Materials,Normal,29.5,4291,117,4848,0,0.023305085,Medium Quality,1,0,1,1
PO_00043,SUPP_0072,26-12-2022,21-01-2023,26,,Cancelled,3624,0,102.45,94.09,0,Yes,,Muvattupuzha,Raw_Materials,Critical,6.3,2302,91,3634,,0,High Quality,2,0,1,0
PO_00044,SUPP_0131,14-02-2023,11-03-2023,25,11-03-2023,Delivered,2032,3050,37.43,38.03,63,Yes,,Aluva,Packaging,Critical,10.7,2431,178,3081,0,0.020655738,Medium Quality,1,0,3,1
PO_00045,SUPP_0138,06-12-2022,04-01-2023,29,,Cancelled,1129,0,20.53,20.28,0,Yes,,Aluva,Raw_Materials,Normal,44.4,2641,193,4265,,0,High Quality,2,0,1,0
PO_00046,SUPP_0030,25-09-2022,06-10-2022,11,07-10-2022,Delivered,1044,3690,49.26,50.72,65,Yes,Raw_Material_Shortage,Kothamanglam,Raw_Materials,Critical,44,4061,90,5099,1,0.017615176,Medium Quality,1,1,1,1
PO_00047,SUPP_0068,09-02-2022,02-03-2022,21,02-03-2022,Delivered,2399,2909,29.93,29.14,59,Yes,,Palakkad,Components,Normal,9.7,2486,196,5219,0,0.020281884,Medium Quality,1,0,2,1
PO_00048,SUPP_0112,20-12-2022,31-12-2022,11,31-12-2022,Delivered,540,320,31.34,28.89,2,Yes,,Kothamanglam,MRO,Critical,27.5,3450,106,2035,0,0.00625,High Quality,2,0,0,0
PO_00049,SUPP_0081,23-03-2023,14-04-2023,22,15-04-2023,Delivered,4442,3210,59.39,58.1,64,Yes,Supplier_Issue,Muvattupuzha,Raw_Materials,Critical,16.7,2148,153,5923,1,0.019937695,Medium Quality,1,1,1,1
PO_00050,SUPP_0030,30-01-2023,26-02-2023,27,26-02-2023,Delivered,1991,1571,61.41,57.39,39,Yes,,Kothamanglam,Raw_Materials,Critical,12.9,4061,90,5099,0,0.024824952,Medium Quality,1,0,1,1
PO_00051,SUPP_0049,18-09-2022,15-10-2022,27,15-10-2022,Delivered,2986,3303,80.09,81.99,70,No,,Kochi,MRO,Normal,12.4,3802,178,3400,0,0.021192855,Low Quality,0,0,0,2
PO_00052,SUPP_0112,02-01-2022,20-01-2022,18,22-01-2022,Delivered,1629,557,68.78,70.13,9,No,Supplier_Issue,Kothamanglam,MRO,Critical,5,3450,106,2035,2,0.016157989,Low Quality,0,2,0,2
PO_00053,SUPP_0051,08-01-2023,04-02-2023,27,04-02-2023,Delivered,1723,1066,71.63,67.86,29,Yes,,Kochi,Components,Urgent,39.8,1782,152,2709,0,0.027204503,Medium Quality,1,0,2,1
PO_00054,SUPP_0018,12-11-2023,19-11-2023,7,19-11-2023,Delivered,861,317,48.39,46.85,9,No,,Kothamanglam,Raw_Materials,Urgent,13.6,1978,57,2034,0,0.028391167,Low Quality,0,0,1,2
PO_00055,SUPP_0081,11-11-2023,23-11-2023,12,23-11-2023,Delivered,2694,1454,101.44,98.6,23,No,,Muvattupuzha,Raw_Materials,Normal,44,2148,153,5923,0,0.015818432,Low Quality,0,0,1,2
PO_00056,SUPP_0077,04-06-2023,29-06-2023,25,29-06-2023,Delivered,4741,2139,27.2,28.58,51,Yes,,Palakkad,Packaging,Urgent,32.3,4590,58,5304,0,0.023842917,Medium Quality,1,0,3,1
PO_00057,SUPP_0105,01-12-2022,12-12-2022,11,14-12-2022,Delivered,3682,3163,80.44,79.38,60,Yes,Weather,Kothamanglam,MRO,Critical,5.2,4514,135,3686,2,0.018969333,Medium Quality,1,2,0,1
PO_00058,SUPP_0076,22-07-2023,14-08-2023,23,14-08-2023,Delivered,2144,1405,44.44,42.01,25,Yes,,Palakkad,Components,Normal,32.2,4223,86,3183,0,0.017793594,Medium Quality,1,0,2,1
PO_00059,SUPP_0050,07-03-2023,02-04-2023,26,02-04-2023,Delivered,920,1955,34.92,33.6,25,Yes,,Muvattupuzha,MRO,Critical,16.7,1806,170,4675,0,0.012787724,Medium Quality,1,0,0,1
PO_00060,SUPP_0098,25-11-2023,01-12-2023,6,01-12-2023,Delivered,1313,5209,76.36,73.44,103,No,,Baypur,Packaging,Critical,1.1,1560,73,5420,0,0.019773469,Low Quality,0,0,3,2
PO_00061,SUPP_0045,23-09-2023,16-10-2023,23,16-10-2023,Delivered,1819,2505,19.84,18.24,49,Yes,,Aluva,Components,Critical,42,3560,183,2795,0,0.019560878,Medium Quality,1,0,2,1
PO_00062,SUPP_0078,20-02-2023,04-03-2023,12,05-03-2023,Delivered,905,2617,106.65,98.25,55,No,Supplier_Issue,Kochi,Components,Normal,32.5,3670,196,4863,1,0.021016431,Low Quality,0,1,2,2
PO_00063,SUPP_0078,21-10-2022,04-11-2022,14,14-11-2022,Delivered,4541,3353,36.94,38.16,73,Yes,Raw_Material_Shortage,Kochi,Components,Urgent,20.8,3670,196,4863,10,0.021771548,Medium Quality,1,10,2,1
PO_00064,SUPP_0149,14-09-2023,06-10-2023,22,06-10-2023,Delivered,4589,3134,59.68,57.02,66,Yes,,Baypur,Raw_Materials,Critical,23.6,4413,92,5627,0,0.021059349,Medium Quality,1,0,1,1
PO_00065,SUPP_0083,22-04-2023,29-04-2023,7,29-04-2023,Delivered,4601,4420,65.86,61.52,89,Yes,,Kothamanglam,Packaging,Urgent,25.4,598,142,4961,0,0.020135747,Medium Quality,1,0,3,1
PO_00066,SUPP_0114,23-11-2023,10-12-2023,17,10-12-2023,Delivered,929,501,84.18,88.31,14,Yes,,Palakkad,Raw_Materials,Normal,38.5,4995,191,2971,0,0.027944112,Medium Quality,1,0,1,1
PO_00067,SUPP_0131,30-04-2023,11-05-2023,11,,Cancelled,206,0,79.86,79.05,0,Yes,,Aluva,Packaging,Critical,30.5,2431,178,3081,,0,High Quality,2,0,3,0
PO_00068,SUPP_0044,06-11-2023,04-12-2023,28,04-12-2023,Delivered,1014,3067,41.41,40.27,67,Yes,,Aluva,Packaging,Normal,15,3125,94,3597,0,0.021845452,Medium Quality,1,0,3,1
PO_00069,SUPP_0073,12-06-2023,04-07-2023,22,04-07-2023,Delivered,897,624,87.96,91.93,7,Yes,,Palakkad,Components,Critical,46,762,193,4393,0,0.011217949,Medium Quality,1,0,2,1
PO_00070,SUPP_0086,06-04-2022,15-04-2022,9,15-04-2022,Delivered,876,779,97.29,89.12,15,Yes,,Aluva,MRO,Normal,47.6,4993,70,2815,0,0.019255456,Medium Quality,1,0,0,1
PO_00071,SUPP_0080,19-08-2022,31-08-2022,12,31-08-2022,Delivered,1554,1049,30.04,30.76,17,Yes,,Baypur,Components,Normal,17.5,3691,165,2586,0,0.01620591,Medium Quality,1,0,2,1
PO_00072,SUPP_0038,26-01-2022,04-02-2022,9,04-02-2022,Delivered,3234,1608,65.58,63.75,28,Yes,,Baypur,Packaging,Normal,47.8,4988,64,3881,0,0.017412935,Medium Quality,1,0,3,1
PO_00073,SUPP_0063,02-05-2023,09-05-2023,7,09-05-2023,Delivered,2177,1039,14.25,13.14,26,Yes,,Muvattupuzha,MRO,Critical,13.8,3431,147,2197,0,0.025024062,Medium Quality,1,0,0,1
PO_00074,SUPP_0019,12-04-2023,25-04-2023,13,,Cancelled,1454,0,13.18,13.19,0,Yes,,Aluva,MRO,Urgent,35.6,3652,99,5943,,0,High Quality,2,0,0,0
PO_00075,SUPP_0148,19-07-2022,25-07-2022,6,25-07-2022,Delivered,1424,2525,76.94,75.11,38,Yes,,Baypur,Packaging,Critical,4.6,4500,150,3291,0,0.015049505,Medium Quality,1,0,3,1
PO_00076,SUPP_0099,22-05-2023,12-06-2023,21,,Cancelled,1468,0,55.32,53.25,0,Yes,,Baypur,Packaging,Urgent,17.3,801,144,5170,,0,High Quality,2,0,3,0
PO_00077,SUPP_0063,01-06-2022,07-06-2022,6,10-06-2022,Delivered,1432,1459,61.48,56.91,25,Yes,Logistics,Muvattupuzha,MRO,Normal,16.7,3431,147,2197,3,0.017135024,Medium Quality,1,3,0,1
PO_00078,SUPP_0109,13-08-2022,30-08-2022,17,30-08-2022,Delivered,2557,278,29.25,27.03,3,Yes,,Muvattupuzha,Packaging,Normal,11.7,4841,88,3500,0,0.010791367,Medium Quality,1,0,3,1
PO_00079,SUPP_0133,21-04-2023,02-05-2023,11,04-05-2023,Delivered,2150,726,32.58,33.28,8,Yes,Logistics,Muvattupuzha,Components,Critical,6.4,1059,138,2487,2,0.011019284,Medium Quality,1,2,2,1
PO_00080,SUPP_0064,05-05-2022,11-05-2022,6,11-05-2022,Delivered,1200,867,20.89,19.63,15,Yes,,Baypur,MRO,Urgent,5.8,2430,193,2608,0,0.017301038,Medium Quality,1,0,0,1
PO_00081,SUPP_0035,21-04-2023,29-04-2023,8,30-04-2023,Delivered,2323,814,70.8,73.74,17,Yes,Supplier_Issue,Kothamanglam,Packaging,Critical,3.1,3273,84,2960,1,0.020884521,Medium Quality,1,1,3,1
PO_00082,SUPP_0082,30-03-2023,21-04-2023,22,21-04-2023,Delivered,923,3908,23.09,21.71,47,Yes,,Aluva,Components,Critical,24,753,161,4557,0,0.012026612,Medium Quality,1,0,2,1
PO_00083,SUPP_0130,13-03-2023,05-04-2023,23,05-04-2023,Delivered,1629,3729,56.95,52.17,62,Yes,,Kochi,MRO,Critical,39.8,3338,176,5464,0,0.016626441,Medium Quality,1,0,0,1
PO_00084,SUPP_0115,12-06-2022,27-06-2022,15,27-06-2022,Delivered,3296,5210,68.29,68.91,127,Yes,,Palakkad,Raw_Materials,Critical,45.3,1666,141,5425,0,0.0243762,Medium Quality,1,0,1,1
PO_00085,SUPP_0122,06-04-2023,26-04-2023,20,03-05-2023,Delivered,2128,1834,49.65,49.81,33,Yes,Customs,Kochi,Components,Normal,10.4,504,152,3219,7,0.017993457,Medium Quality,1,7,2,1
PO_00086,SUPP_0071,18-06-2023,09-07-2023,21,09-07-2023,Delivered,2408,1447,57.35,58.89,24,Yes,,Muvattupuzha,Packaging,Urgent,22.3,2885,153,2640,0,0.01658604,Medium Quality,1,0,3,1
PO_00087,SUPP_0062,09-10-2022,31-10-2022,22,31-10-2022,Delivered,779,1046,100.83,92.07,16,No,,Baypur,Raw_Materials,Urgent,29.1,1266,87,4327,0,0.015296367,Low Quality,0,0,1,2
PO_00088,SUPP_0020,20-10-2022,05-11-2022,16,05-11-2022,Delivered,299,1199,64.07,63.12,23,Yes,,Aluva,Components,Normal,46.8,3573,183,4613,0,0.019182652,Medium Quality,1,0,2,1
PO_00089,SUPP_0070,10-12-2022,20-12-2022,10,20-12-2022,Delivered,4374,2220,97.08,91.7,50,Yes,,Aluva,Components,Urgent,27.8,3476,177,4598,0,0.022522523,Medium Quality,1,0,2,1
PO_00090,SUPP_0139,24-03-2022,12-04-2022,19,12-04-2022,Delivered,1069,847,10.87,10.88,17,Yes,,Palakkad,Components,Normal,2.6,2979,134,2550,0,0.020070838,Medium Quality,1,0,2,1
PO_00091,SUPP_0039,25-08-2022,18-09-2022,24,18-09-2022,Delivered,1821,201,77.69,72.39,3,Yes,,Baypur,Packaging,Urgent,29,1984,112,2863,0,0.014925373,Medium Quality,1,0,3,1
PO_00092,SUPP_0040,25-12-2023,07-01-2024,13,,Cancelled,1540,0,40.23,36.9,0,Yes,,Kochi,MRO,Normal,30.4,3290,101,3020,,0,High Quality,2,0,0,0
PO_00093,SUPP_0017,01-03-2023,25-03-2023,24,27-03-2023,Delivered,637,2233,93.44,90.53,52,Yes,Weather,Kochi,Packaging,Urgent,25.7,3112,179,3363,2,0.023287058,Medium Quality,1,2,3,1
PO_00094,SUPP_0139,23-04-2023,07-05-2023,14,08-05-2023,Delivered,1694,2268,86.95,88.46,38,Yes,Weather,Palakkad,Components,Normal,24.4,2979,134,2550,1,0.01675485,Medium Quality,1,1,2,1
PO_00095,SUPP_0053,07-03-2023,29-03-2023,22,,Cancelled,769,0,41.16,39.91,0,Yes,,Palakkad,Components,Urgent,4.8,1163,108,5445,,0,High Quality,2,0,2,0
PO_00096,SUPP_0150,14-12-2023,06-01-2024,23,06-01-2024,Delivered,542,1420,83.6,85.64,42,Yes,,Baypur,Raw_Materials,Normal,30.6,4880,190,2011,0,0.029577465,Medium Quality,1,0,1,1
PO_00097,SUPP_0148,25-01-2023,10-02-2023,16,10-02-2023,Delivered,3144,1862,63.06,62.08,41,Yes,,Baypur,Packaging,Urgent,43.3,4500,150,3291,0,0.022019334,Medium Quality,1,0,3,1
PO_00098,SUPP_0002,27-12-2022,06-01-2023,10,16-01-2023,Delivered,1339,255,42.64,42.32,7,Yes,Customs,Aluva,Components,Urgent,20.4,4272,70,3638,10,0.02745098,Medium Quality,1,10,2,1
PO_00099,SUPP_0108,06-07-2023,16-07-2023,10,16-07-2023,Delivered,1832,4662,65.7,63.36,98,Yes,,Kochi,MRO,Critical,15.7,3675,186,5882,0,0.021021021,Medium Quality,1,0,0,1
PO_00100,SUPP_0140,10-09-2023,16-09-2023,6,16-09-2023,Delivered,4105,4637,45.04,45.7,85,Yes,,Aluva,Raw_Materials,Normal,16.6,2135,82,5325,0,0.018330817,Medium Quality,1,0,1,1
PO_00101,SUPP_0125,13-08-2022,27-08-2022,14,27-08-2022,Delivered,1962,2343,69.21,65.54,39,No,,Baypur,Raw_Materials,Urgent,35.6,4864,163,2635,0,0.016645327,Low Quality,0,0,1,2
PO_00102,SUPP_0112,13-05-2023,22-05-2023,9,23-05-2023,Delivered,1685,1761,54.17,50.17,36,No,Logistics,Kothamanglam,MRO,Urgent,47.4,3450,106,2035,1,0.02044293,Low Quality,0,1,0,2
PO_00103,SUPP_0087,16-11-2023,29-11-2023,13,04-12-2023,Delivered,3249,3021,21.36,20.99,75,Yes,Weather,Aluva,Packaging,Critical,3,4487,177,3415,5,0.024826216,Medium Quality,1,5,3,1
PO_00104,SUPP_0043,24-04-2023,08-05-2023,14,08-05-2023,Delivered,260,1409,100.05,95.66,35,Yes,,Palakkad,Components,Normal,24,2222,135,3819,0,0.024840312,Medium Quality,1,0,2,1
PO_00105,SUPP_0137,28-01-2022,13-02-2022,16,13-02-2022,Delivered,2087,4521,29.61,28.17,120,Yes,,Kothamanglam,Packaging,Urgent,21.9,3856,118,5118,0,0.0265428,Medium Quality,1,0,3,1
PO_00106,SUPP_0145,10-11-2023,19-11-2023,9,19-11-2023,Delivered,2066,1215,11.43,11.58,28,Yes,,Baypur,Raw_Materials,Normal,44.2,3587,73,2335,0,0.023045267,Medium Quality,1,0,1,1
PO_00107,SUPP_0022,21-10-2023,26-10-2023,5,26-10-2023,Delivered,1390,3187,66.28,68.61,61,Yes,,Aluva,MRO,Urgent,27.6,661,63,5934,0,0.019140257,Medium Quality,1,0,0,1
PO_00108,SUPP_0035,18-04-2023,01-05-2023,13,01-05-2023,Delivered,1751,577,75.07,70.08,14,Yes,,Kothamanglam,Packaging,Normal,39.4,3273,84,2960,0,0.024263432,Medium Quality,1,0,3,1
PO_00109,SUPP_0013,24-09-2022,22-10-2022,28,22-10-2022,Delivered,2290,810,73.19,72.59,16,Yes,,Baypur,Components,Urgent,11.7,3702,100,2646,0,0.019753086,Medium Quality,1,0,2,1
PO_00110,SUPP_0084,05-08-2022,20-08-2022,15,20-08-2022,Delivered,1064,2992,52.07,51.71,70,Yes,,Aluva,Packaging,Urgent,2.2,4933,103,5234,0,0.023395722,Medium Quality,1,0,3,1
PO_00111,SUPP_0084,12-12-2022,10-01-2023,29,10-01-2023,Delivered,3125,3467,60.41,58.02,76,Yes,,Aluva,Packaging,Urgent,45.9,4933,103,5234,0,0.021920969,Medium Quality,1,0,3,1
PO_00112,SUPP_0072,08-03-2023,25-03-2023,17,25-03-2023,Delivered,1929,426,17.95,16.42,8,Yes,,Muvattupuzha,Raw_Materials,Urgent,26,2302,91,3634,0,0.018779343,Medium Quality,1,0,1,1
PO_00113,SUPP_0021,27-04-2023,09-05-2023,12,09-05-2023,Delivered,104,1784,34.96,34.54,27,Yes,,Kothamanglam,Components,Normal,9.5,4343,103,3500,0,0.015134529,Medium Quality,1,0,2,1
PO_00114,SUPP_0139,23-02-2022,12-03-2022,17,12-03-2022,Delivered,2479,578,93.87,92.6,10,Yes,,Palakkad,Components,Urgent,1.1,2979,134,2550,0,0.017301038,Medium Quality,1,0,2,1
PO_00115,SUPP_0058,28-10-2023,23-11-2023,26,26-11-2023,Delivered,682,1211,66.57,68.19,22,Yes,Logistics,Aluva,Raw_Materials,Critical,27.2,3652,162,2001,3,0.018166804,Medium Quality,1,3,1,1
PO_00116,SUPP_0011,01-02-2022,10-02-2022,9,11-02-2022,Delivered,3231,3783,75.46,70.43,83,Yes,Raw_Material_Shortage,Palakkad,MRO,Normal,8.2,3234,100,3899,1,0.021940259,Medium Quality,1,1,0,1
PO_00117,SUPP_0006,29-09-2023,20-10-2023,21,23-10-2023,Delivered,2845,767,17.75,18.61,17,Yes,Raw_Material_Shortage,Baypur,MRO,Normal,11.9,1269,137,3515,3,0.022164276,Medium Quality,1,3,0,1
PO_00118,SUPP_0033,30-04-2023,18-05-2023,18,18-05-2023,Delivered,880,1031,36.08,34.71,23,Yes,,Muvattupuzha,Components,Critical,35.1,2954,111,3751,0,0.022308438,Medium Quality,1,0,2,1
PO_00119,SUPP_0030,01-08-2023,16-08-2023,15,16-08-2023,Delivered,1331,3692,43.81,40.35,81,Yes,,Kothamanglam,Raw_Materials,Normal,29,4061,90,5099,0,0.021939328,Medium Quality,1,0,1,1
PO_00120,SUPP_0120,18-12-2023,31-12-2023,13,31-12-2023,Delivered,3196,2622,16.7,16.25,39,Yes,,Baypur,MRO,Urgent,26.4,2991,150,5040,0,0.014874142,Medium Quality,1,0,0,1
